FileName;FunctionName;NumStackAllocations;NumEscapingStackAllocations;TotalAllocatedStackMemory;TotalEscapingAllocatedStackMemory
test;function_4cd0;0;0;0;0
test;function_4cd3;0;0;0;0
test;function_4ce0;0;0;0;0
test;function_4ce3;0;0;0;0
test;function_4cf0;0;0;0;0
test;function_4cf3;0;0;0;0
test;function_4d00;0;0;0;0
test;function_4d03;0;0;0;0
test;function_4d10;0;0;0;0
test;function_4d13;0;0;0;0
test;function_4d20;0;0;0;0
test;function_4d23;0;0;0;0
test;function_4d30;0;0;0;0
test;function_4d4a;0;0;0;0
test;function_4d4f;0;0;0;0
test;function_4d54;0;0;0;0
test;function_4d59;0;0;0;0
test;function_4d5e;0;0;0;0
test;function_4d63;0;0;0;0
test;function_4d68;0;0;0;0
test;function_4d6d;0;0;0;0
test;function_4d72;0;0;0;0
test;function_4d77;0;0;0;0
test;function_4d7c;0;0;0;0
test;function_4d81;0;0;0;0
test;function_4d86;0;0;0;0
test;function_4d8b;0;0;0;0
test;function_4d90;0;0;0;0
test;function_4d95;0;0;0;0
test;function_4d9a;0;0;0;0
test;function_4d9f;0;0;0;0
test;function_4da4;0;0;0;0
test;function_4da9;0;0;0;0
test;function_4dae;0;0;0;0
test;function_4db3;0;0;0;0
test;function_4db8;0;0;0;0
test;function_4dbd;0;0;0;0
test;function_4dc2;0;0;0;0
test;function_4dc7;0;0;0;0
test;function_4dcc;0;0;0;0
test;function_4dd1;0;0;0;0
test;function_4dd6;0;0;0;0
test;function_4ddb;0;0;0;0
test;function_4de0;0;0;0;0
test;function_4de5;0;0;0;0
test;function_4dea;0;0;0;0
test;function_4def;0;0;0;0
test;function_4df4;0;0;0;0
test;function_4df9;0;0;0;0
test;function_4dfe;0;0;0;0
test;function_4e02;0;0;0;0
test;function_4e13;151;10;1127;61
test;entry_point;0;0;0;0
test;function_64d3;1;1;8;8
test;function_6530;0;0;0;0
test;function_6573;1;0;8;0
test;function_65b0;0;0;0;0
test;function_65b3;0;0;0;0
test;function_65c0;0;0;0;0
test;function_65df;0;0;0;0
test;function_65f0;0;0;0;0
test;function_65f3;0;0;0;0
test;function_6620;0;0;0;0
test;function_6623;79;3;604;24
test;function_6dc0;0;0;0;0
test;function_6dc3;216;4;1589;25
test;function_7523;0;0;0;0
test;function_7543;0;0;0;0
test;function_7553;0;0;0;0
test;function_7580;11;0;67;0
test;function_7633;0;0;0;0
test;function_7650;9;0;72;0
test;function_7770;3;1;24;8
test;function_7a50;4;0;32;0
test;function_7b00;3;0;24;0
test;function_7b90;53;1;420;8
test;function_7fb0;99;1;753;8
test;function_8460;134;1;1029;8
test;function_8a50;40;0;320;0
test;function_8df0;273;2;2029;16
test;function_a470;6;0;48;0
test;function_a560;0;0;0;0
test;function_a563;3;0;24;0
test;function_a5d0;0;0;0;0
test;function_a5d3;9;0;72;0
test;function_a840;0;0;0;0
test;function_a843;26;1;208;8
test;function_a9e3;47;5;362;40
test;function_ad73;53;3;410;24
test;function_b330;1;0;8;0
test;function_b380;4;0;25;0
test;function_b400;0;0;0;0
test;function_b450;0;0;0;0
test;function_b490;80;0;626;0
test;function_bb33;0;0;0;0
test;function_bb73;78;0;596;0
test;function_c1a0;0;0;0;0
test;function_c1a3;8;0;64;0
test;function_c2e0;0;0;0;0
test;function_c2e3;60;3;491;20
test;function_c850;0;0;0;0
test;function_c853;0;0;0;0
test;function_c860;0;0;0;0
test;function_c863;439;3;2868;24
test;function_fac0;0;0;0;0
test;function_fac3;0;0;0;0
test;function_fae3;0;0;0;0
test;function_fb03;0;0;0;0
test;function_fb13;0;0;0;0
test;function_fb40;0;0;0;0
test;function_fb43;6;0;48;0
test;function_fba0;0;0;0;0
test;function_fba3;8;1;64;8
test;function_10350;0;0;0;0
test;function_10353;21;1;168;8
test;function_10560;0;0;0;0
test;function_10563;15;2;116;12
test;function_10650;0;0;0;0
test;function_10653;7;2;52;12
test;function_10710;0;0;0;0
test;function_10713;13;4;100;28
test;function_10963;31;2;240;12
test;function_10d83;38;1;288;4
test;function_110d3;0;0;0;0
test;function_110e0;0;0;0;0
test;function_110e3;16;0;108;0
test;function_11263;1;0;8;0
test;function_112f0;0;0;0;0
test;function_112f3;9;0;64;0
test;function_11420;0;0;0;0
test;function_11423;2;0;16;0
test;function_11503;3;0;24;0
test;function_11563;0;0;0;0
test;function_1159c;0;0;0;0
test;function_115c1;0;0;0;0
test;function_115ca;0;0;0;0
test;function_115e2;0;0;0;0
test;function_11600;0;0;0;0
test;function_11603;7;3;56;24
test;function_11700;0;0;0;0
test;function_11703;6;0;41;0
test;function_11773;0;0;0;0
test;function_11783;0;0;0;0
test;function_11790;0;0;0;0
test;function_11793;6;0;48;0
test;function_11840;4;0;32;0
test;function_118c3;1;0;8;0
test;function_118e3;0;0;0;0
test;function_118f0;4;0;32;0
test;function_11950;48;0;408;0
test;function_11e60;23;0;184;0
test;function_11ff0;25;0;200;0
test;function_12320;50;0;404;0
test;function_12740;206;5;1692;48
test;function_13390;63;1;488;4
test;function_137d3;83;2;664;16
test;function_13f23;49;0;392;0
test;function_143c0;18;0;144;0
test;function_145b0;625;7;4803;45
test;function_16070;532;10;4101;68
test;function_18530;0;0;0;0
test;function_18533;11;0;88;0
test;function_18730;0;0;0;0
test;function_18733;0;0;0;0
test;function_18740;0;0;0;0
test;function_18743;0;0;0;0
test;function_18750;0;0;0;0
test;function_18753;0;0;0;0
test;function_18760;0;0;0;0
test;function_18763;12;0;96;0
test;function_18950;0;0;0;0
test;function_18953;88;0;714;0
test;function_18fd0;0;0;0;0
test;function_18fd3;75;0;553;0
test;function_19e00;0;0;0;0
test;function_19e03;0;0;0;0
test;function_19e10;0;0;0;0
test;function_19e13;0;0;0;0
test;function_19e20;0;0;0;0
test;function_19e23;11;0;88;0
test;function_1a0b3;0;0;0;0
test;function_1a140;0;0;0;0
test;function_1a143;9;5;61;36
test;function_1a2b0;0;0;0;0
test;function_1a2b3;7;0;36;0
test;function_1a3b0;0;0;0;0
test;function_1a3b3;0;0;0;0
test;function_1a3f3;0;0;0;0
test;function_1a403;0;0;0;0
test;function_1a423;0;0;0;0
test;function_1a443;0;0;0;0
test;function_1a450;0;0;0;0
test;function_1a453;3;0;24;0
test;function_1a543;27;2;180;12
test;function_1a7c3;0;0;0;0
test;function_1a7f0;0;0;0;0
test;function_1a7f3;14;0;112;0
test;function_1a9c7;0;0;0;0
test;function_1a9e0;0;0;0;0
test;function_1a9e3;0;0;0;0
test;function_1a9f3;15;0;113;0
test;function_1aae3;9;0;44;0
test;function_1aba0;0;0;0;0
test;function_1aba3;59;0;443;0
test;function_1ae50;0;0;0;0
test;function_1ae53;28;0;224;0
test;function_1b1b3;22;1;172;8
test;function_1b3d0;0;0;0;0
test;function_1b3d3;37;1;288;8
test;function_1b670;0;0;0;0
test;function_1b673;0;0;0;0
test;function_1b683;0;0;0;0
test;function_1b6a3;0;0;0;0
test;function_1b6b0;4;0;32;0
test;function_1b7c0;13;0;104;0
test;function_1b933;0;0;0;0
test;function_1b943;0;0;0;0
test;function_1b953;0;0;0;0
test;function_1b963;7;0;56;0
test;function_1b9c3;12;0;96;0
test;function_1ba33;11;0;120;0
test;function_1bb90;0;0;0;0
test;function_1bb93;3;0;24;0
test;function_1bc13;2;0;16;0
test;function_1bc63;4;0;32;0
test;function_1bcf3;8;0;64;0
test;function_1bd53;6;0;48;0
test;function_1bdd0;0;0;0;0
test;function_1bdd3;4;0;25;0
test;function_1be13;1;0;8;0
test;function_1be30;0;0;0;0
test;function_1be33;22;0;208;0
test;function_1c0d3;9;0;80;0
test;function_1c1a0;0;0;0;0
test;function_1c1a3;14;0;112;0
test;function_1c290;0;0;0;0
test;function_1c293;24;1;208;16
test;function_1c513;14;1;144;8
test;function_1c7d0;0;0;0;0
test;function_1c7d3;14;1;144;8
test;function_1ca80;0;0;0;0
test;function_1ca83;15;1;156;8
test;function_1cca3;0;0;0;0
test;function_1ccd3;1;0;8;0
test;function_1cd33;0;0;0;0
test;function_1cd50;0;0;0;0
test;function_1cd68;0;0;0;0
test;function_1cd72;1;0;8;0
test;function_1cd80;0;0;0;0
test;function_1cd83;66;4;445;24
test;function_1d450;0;0;0;0
test;function_1d453;11;0;88;0
test;function_1d5a0;0;0;0;0
test;function_1d5a3;0;0;0;0
test;function_1d700;0;0;0;0
test;function_1d7a0;158;0;1159;0
test;function_1eb30;3;0;24;0
test;function_1ecd3;0;0;0;0
test;function_1ed13;0;0;0;0
test;function_1ed33;0;0;0;0
test;function_1ed53;0;0;0;0
test;function_1ed93;0;0;0;0
test;function_1edb3;2;0;16;0
test;function_1ee03;0;0;0;0
test;function_1ee83;0;0;0;0
test;function_1ef53;0;0;0;0
test;function_1f043;4;0;32;0
test;function_1f0e3;3;0;24;0
test;function_1f2a3;3;0;24;0
test;function_1f463;3;0;24;0
test;function_1f603;3;0;24;0
test;function_1f7a0;0;0;0;0
test;function_1f7a3;1;1;8;8
test;function_1f823;1;1;8;8
test;function_1f893;10;1;92;16
test;function_1fa93;10;1;96;16
test;function_1fca3;6;1;48;8
test;function_1fec3;5;1;40;8
test;function_200d0;0;0;0;0
test;function_200d3;5;1;40;8
test;function_202d3;5;1;40;8
test;function_204d3;1;1;8;8
test;function_20553;1;1;8;8
test;function_20603;1;1;8;8
test;function_206b3;7;1;56;8
test;function_208e3;8;1;64;8
test;function_20b23;3;0;24;0
test;function_20ce3;3;0;24;0
test;function_20e80;0;0;0;0
test;function_20e83;3;0;24;0
test;function_21040;0;0;0;0
test;function_21043;3;0;24;0
test;function_211e0;0;0;0;0
test;function_211e3;1;0;8;0
test;function_21250;0;0;0;0
test;function_21253;0;0;0;0
test;function_21290;0;0;0;0
test;function_21293;0;0;0;0
test;function_212f0;0;0;0;0
test;function_212f3;2;0;16;0
test;function_21763;1;0;8;0
test;function_21783;11;0;88;0
test;function_21a40;0;0;0;0
test;function_21a43;0;0;0;0
test;function_21c20;0;0;0;0
test;function_21c23;0;0;0;0
