FunctionName;NumInstructions;NumAllocaInvocations;NumEscapingAllocaInvocations;NumDynamicallySizedAllocaInvocations;NumDynamicallySizedEscapingAllocaInvocations;TotalStaticallyAllocatedStackMemory;TotalStaticallyAllocatedEscapingStackMemory
mbuiter_multi_reloc;5;0;0;0;0;0;0
mbuiter_multi_copy;49;0;0;0;0;0;0
memchr2;79;0;0;0;0;0;0
openat_safer;33;1;1;0;0;24;24
clone_quoting_options;9;0;0;0;0;0;0
get_quoting_style;5;0;0;0;0;0;0
set_quoting_style;5;0;0;0;0;0;0
set_char_quoting;16;0;0;0;0;0;0
set_quoting_flags;6;0;0;0;0;0;0
set_custom_quoting;15;0;0;0;0;0;0
quotearg_buffer;16;0;0;0;0;0;0
quotearg_buffer_restyled;682;2;2;0;0;12;12
gettext_quote;71;0;0;0;0;0;0
quotearg_alloc;23;0;0;0;0;0;0
quotearg_alloc_mem;29;0;0;0;0;0;0
quotearg_free;29;0;0;0;0;0;0
quotearg_n;2;0;0;0;0;0;0
quotearg_n_options;71;0;0;0;0;0;0
quotearg_n_mem;2;0;0;0;0;0;0
quotearg;2;0;0;0;0;0;0
quotearg_mem;2;0;0;0;0;0;0
quotearg_n_style;13;1;1;0;0;56;56
quotearg_n_style_mem;13;1;1;0;0;56;56
quotearg_style;13;1;1;0;0;56;56
quotearg_style_mem;13;1;1;0;0;56;56
quotearg_char_mem;19;1;1;0;0;56;56
quotearg_char;19;1;1;0;0;56;56
quotearg_colon;11;1;1;0;0;56;56
quotearg_colon_mem;11;1;1;0;0;56;56
quotearg_n_style_colon;24;2;1;0;0;108;56
quotearg_n_custom;19;1;1;0;0;56;56
quotearg_n_custom_mem;19;1;1;0;0;56;56
quotearg_custom;19;1;1;0;0;56;56
quotearg_custom_mem;19;1;1;0;0;56;56
quote_n_mem;2;0;0;0;0;0;0
quote_mem;2;0;0;0;0;0;0
quote_n;2;0;0;0;0;0;0
quote;2;0;0;0;0;0;0
safe_read;15;0;0;0;0;0;0
strnlen1;8;0;0;0;0;0;0
fd_safer;10;0;0;0;0;0;0
version_etc_arn;142;0;0;0;0;0;0
version_etc_ar;9;0;0;0;0;0;0
version_etc_va;167;1;1;0;0;80;80
version_etc;9;1;1;0;0;24;24
emit_bug_reporting_address;9;0;0;0;0;0;0
xnmalloc;12;0;0;0;0;0;0
xmalloc;6;0;0;0;0;0;0
xnrealloc;16;0;0;0;0;0;0
xrealloc;10;0;0;0;0;0;0
x2nrealloc;38;0;0;0;0;0;0
xcharalloc;6;0;0;0;0;0;0
x2realloc;25;0;0;0;0;0;0
xzalloc;8;0;0;0;0;0;0
xcalloc;9;0;0;0;0;0;0
xmemdup;7;0;0;0;0;0;0
xstrdup;9;0;0;0;0;0;0
xalloc_die;5;0;0;0;0;0;0
xstrtoimax;503;1;1;0;0;8;8
should_colorize;9;0;0;0;0;0;0
init_colorize;1;0;0;0;0;0;0
print_start_colorize;2;0;0;0;0;0;0
print_end_colorize;3;0;0;0;0;0;0
rpl_fts_open;338;0;0;0;0;0;0
fts_stat;73;0;0;0;0;0;0
fts_sort;128;0;0;0;0;0;0
AD_hash;5;0;0;0;0;0;0
AD_compare;16;0;0;0;0;0;0
rpl_fts_close;128;0;0;0;0;0;0
rpl_fts_read;506;0;0;0;0;0;0
leave_dir;62;1;1;0;0;24;24
fts_safe_changedir;125;1;1;0;0;144;144
fts_build;626;1;0;0;0;4;0
restore_initial_cwd;36;0;0;0;0;0;0
enter_dir;45;0;0;0;0;0;0
filesystem_type;71;2;2;0;0;136;136
fts_compare_ino;12;0;0;0;0;0;0
dev_type_hash;4;0;0;0;0;0;0
dev_type_compare;6;0;0;0;0;0;0
rpl_fts_set;11;0;0;0;0;0;0
rpl_fts_children;113;0;0;0;0;0;0
rpl_mbrlen;4;0;0;0;0;0;0
rpl_mbrtowc;19;1;1;0;0;4;4
print_and_abort;6;0;0;0;0;0;0
_obstack_begin;49;0;0;0;0;0;0
_obstack_begin_1;53;0;0;0;0;0;0
_obstack_newchunk;106;0;0;0;0;0;0
_obstack_allocated_p;18;0;0;0;0;0;0
_obstack_free;52;0;0;0;0;0;0
_obstack_memory_used;17;0;0;0;0;0;0
rpl_re_compile_pattern;21;0;0;0;0;0;0
re_compile_internal;1697;7;4;0;0;228;196
free_dfa_content;155;0;0;0;0;0;0
build_wcs_upper_buffer;590;4;4;0;0;80;80
build_wcs_buffer;144;2;2;0;0;68;68
peek_token;442;1;1;0;0;16;16
parse_reg_exp;161;0;0;0;0;0;0
lower_subexp;245;0;0;0;0;0;0
re_dfa_add_node;112;0;0;0;0;0;0
link_nfa_nodes;136;0;0;0;0;0;0
calc_eclosure_iter;198;2;1;0;0;48;24
re_node_set_merge;146;0;0;0;0;0;0
re_acquire_state_context;400;0;0;0;0;0;0
free_state;36;0;0;0;0;0;0
register_state;105;0;0;0;0;0;0
duplicate_node_closure;270;0;0;0;0;0;0
re_node_set_insert;86;0;0;0;0;0;0
parse_branch;246;0;0;0;0;0;0
parse_expression;2561;10;2;0;0;160;64
peek_token_bracket;140;0;0;0;0;0;0
parse_bracket_element;217;1;0;0;0;16;0
build_charclass;606;0;0;0;0;0;0
build_charclass_op;274;1;0;0;0;8;0
rpl_re_set_syntax;3;0;0;0;0;0;0
rpl_re_compile_fastmap;36;0;0;0;0;0;0
re_compile_fastmap_iter;364;7;7;0;0;301;301
rpl_regcomp;54;0;0;0;0;0;0
rpl_regerror;23;0;0;0;0;0;0
