FunctionName;NumInstructions;NumAllocaInvocations;NumEscapingAllocaInvocations;NumDynamicallySizedAllocaInvocations;NumDynamicallySizedEscapingAllocaInvocations;TotalStaticallyAllocatedStackMemory;TotalStaticallyAllocatedEscapingStackMemory
caml_compare;6;0;0;0;0;0;0
compare_val;363;1;1;0;0;208;208
compare_free_stack;10;0;0;0;0;0;0
compare_stack_overflow;4;0;0;0;0;0;0
caml_equal;4;0;0;0;0;0;0
caml_notequal;4;0;0;0;0;0;0
caml_lessthan;4;0;0;0;0;0;0
caml_lessequal;6;0;0;0;0;0;0
caml_greaterthan;4;0;0;0;0;0;0
caml_greaterequal;5;0;0;0;0;0;0
int32_cmp;14;0;0;0;0;0;0
int32_hash;6;0;0;0;0;0;0
int32_serialize;8;0;0;0;0;0;0
int32_deserialize;4;0;0;0;0;0;0
int64_cmp;12;0;0;0;0;0;0
int64_hash;7;0;0;0;0;0;0
int64_serialize;7;0;0;0;0;0;0
int64_deserialize;4;0;0;0;0;0;0
nativeint_cmp;12;0;0;0;0;0;0
nativeint_hash;8;0;0;0;0;0;0
nativeint_serialize;16;0;0;0;0;0;0
nativeint_deserialize;13;0;0;0;0;0;0
caml_bswap16_direct;6;0;0;0;0;0;0
caml_bswap16;10;0;0;0;0;0;0
caml_int_compare;8;0;0;0;0;0;0
caml_int_of_string;4;0;0;0;0;0;0
parse_intnat;118;3;0;0;0;12;0
parse_sign_and_base;35;0;0;0;0;0;0
caml_format_int;34;1;1;0;0;32;32
caml_copy_int32;6;0;0;0;0;0;0
caml_int32_neg;11;0;0;0;0;0;0
caml_int32_add;15;0;0;0;0;0;0
caml_int32_sub;15;0;0;0;0;0;0
caml_int32_mul;15;0;0;0;0;0;0
caml_int32_div;25;0;0;0;0;0;0
caml_int32_mod;28;0;0;0;0;0;0
caml_int32_and;15;0;0;0;0;0;0
caml_int32_or;15;0;0;0;0;0;0
caml_int32_xor;15;0;0;0;0;0;0
caml_int32_shift_left;13;0;0;0;0;0;0
caml_int32_shift_right;13;0;0;0;0;0;0
