FileName;FunctionName;NumAllocaInvocations;NumEscapingAllocaInvocations;NumDynamicallySizedAllocaInvocations;NumDynamicallySizedEscapingAllocaInvocations;TotalStaticallyAllocatedStackMemory;TotalStaticallyAllocatedEscapingStackMemory
llvm-link;sigemptyset;0;0;0;0;0;0
llvm-link;segv_handler;0;0;0;0;0;0
llvm-link;sigaction;0;0;0;0;0;0
llvm-link;llvm.usub.with.overflow.i64;0;0;0;0;0;0
llvm-link;llvm.uadd.with.overflow.i64;0;0;0;0;0;0
llvm-link;llvm.uadd.sat.i64;0;0;0;0;0;0
llvm-link;die;1;1;0;0;4098;4098
llvm-link;write;0;0;0;0;0;0
llvm-link;_exit;0;0;0;0;0;0
llvm-link;raise;0;0;0;0;0;0
llvm-link;c_strcasecmp;0;0;0;0;0;0
llvm-link;close_stdout_set_file_name;0;0;0;0;0;0
llvm-link;close_stdout_set_ignore_EPIPE;0;0;0;0;0;0
llvm-link;close_stdout;0;0;0;0;0;0
llvm-link;dfaparse;0;0;0;0;0;0
llvm-link;addtok_mb;0;0;0;0;0;0
llvm-link;lex;5;1;0;0;132;4
llvm-link;closure;1;0;0;0;128;0
llvm-link;xpalloc;0;0;0;0;0;0
llvm-link;addtok;2;2;0;0;24;24
llvm-link;llvm.sadd.with.overflow.i64;0;0;0;0;0;0
llvm-link;addtok_wc;2;2;0;0;24;24
llvm-link;nsubtoks;0;0;0;0;0;0
llvm-link;__ctype_b_loc;0;0;0;0;0;0
llvm-link;parse_bracket_exp;14;11;0;0;241;44
llvm-link;wctob;0;0;0;0;0;0
llvm-link;isalpha;0;0;0;0;0;0
llvm-link;isupper;0;0;0;0;0;0
llvm-link;islower;0;0;0;0;0;0
llvm-link;isdigit;0;0;0;0;0;0
llvm-link;isxdigit;0;0;0;0;0;0
llvm-link;isspace;0;0;0;0;0;0
llvm-link;ispunct;0;0;0;0;0;0
llvm-link;isalnum;0;0;0;0;0;0
llvm-link;isprint;0;0;0;0;0;0
llvm-link;isgraph;0;0;0;0;0;0
llvm-link;iscntrl;0;0;0;0;0;0
llvm-link;isblank;0;0;0;0;0;0
llvm-link;dfaexec;0;0;0;0;0;0
llvm-link;dfasuperset;0;0;0;0;0;0
llvm-link;dfaisfast;0;0;0;0;0;0
llvm-link;dfasupported;0;0;0;0;0;0
llvm-link;dfacomp;0;0;0;0;0;0
llvm-link;dfaexec_sb;0;0;0;0;0;0
llvm-link;dfafree;0;0;0;0;0;0
llvm-link;dfaanalyze;4;0;0;0;96;0
llvm-link;dfaexec_noop;0;0;0;0;0;0
llvm-link;merge_constrained;0;0;0;0;0;0
llvm-link;compare;0;0;0;0;0;0
llvm-link;qsort;0;0;0;0;0;0
llvm-link;state_index;0;0;0;0;0;0
llvm-link;dfaexec_main;3;2;0;0;16;8
llvm-link;realloc_trans_if_necessary;0;0;0;0;0;0
llvm-link;transit_state;1;1;0;0;4;4
llvm-link;build_state;5;0;0;0;120;0
llvm-link;__assert_fail;0;0;0;0;0;0
llvm-link;dfamust;0;0;0;0;0;0
llvm-link;strchr;0;0;0;0;0;0
llvm-link;enlist;0;0;0;0;0;0
llvm-link;freemust;0;0;0;0;0;0
llvm-link;strstr;0;0;0;0;0;0
llvm-link;dfamustfree;0;0;0;0;0;0
llvm-link;dfaalloc;0;0;0;0;0;0
llvm-link;dfasyntax;0;0;0;0;0;0
llvm-link;dfaexec_mb;0;0;0;0;0;0
llvm-link;dfacopysyntax;0;0;0;0;0;0
llvm-link;init_localeinfo;7;5;0;0;29;25
llvm-link;strcoll;0;0;0;0;0;0
llvm-link;case_folded_counterparts;0;0;0;0;0;0
llvm-link;towupper;0;0;0;0;0;0
llvm-link;towlower;0;0;0;0;0;0
llvm-link;strip_trailing_slashes;0;0;0;0;0;0
llvm-link;exclude_add_pattern_buffer;0;0;0;0;0;0
llvm-link;fnmatch_pattern_has_wildcards;0;0;0;0;0;0
llvm-link;new_exclude;0;0;0;0;0;0
llvm-link;free_exclude;0;0;0;0;0;0
llvm-link;exclude_fnmatch;0;0;0;0;0;0
llvm-link;fnmatch_no_wildcards;0;0;0;0;0;0
llvm-link;fnmatch;0;0;0;0;0;0
llvm-link;excluded_file_name;0;0;0;0;0;0
llvm-link;strrchr;0;0;0;0;0;0
llvm-link;add_exclude;0;0;0;0;0;0
llvm-link;string_hasher_ci;1;1;0;0;64;64
llvm-link;string_hasher;0;0;0;0;0;0
llvm-link;string_compare_ci;0;0;0;0;0;0
llvm-link;string_compare;0;0;0;0;0;0
llvm-link;string_free;0;0;0;0;0;0
llvm-link;add_exclude_fp;1;0;0;0;8;0
llvm-link;__uflow;0;0;0;0;0;0
llvm-link;add_exclude_file;1;1;0;0;8;8
llvm-link;call_addfn;0;0;0;0;0;0
llvm-link;getprogname;0;0;0;0;0;0
llvm-link;hash_get_n_buckets;0;0;0;0;0;0
llvm-link;hash_get_n_buckets_used;0;0;0;0;0;0
llvm-link;hash_get_n_entries;0;0;0;0;0;0
llvm-link;hash_get_max_bucket_length;0;0;0;0;0;0
llvm-link;hash_table_ok;0;0;0;0;0;0
llvm-link;hash_print_statistics;0;0;0;0;0;0
llvm-link;hash_lookup;0;0;0;0;0;0
llvm-link;hash_get_first;0;0;0;0;0;0
llvm-link;hash_get_next;0;0;0;0;0;0
llvm-link;hash_get_entries;0;0;0;0;0;0
llvm-link;hash_do_for_each;0;0;0;0;0;0
llvm-link;hash_string;0;0;0;0;0;0
llvm-link;hash_reset_tuning;0;0;0;0;0;0
llvm-link;hash_initialize;0;0;0;0;0;0
llvm-link;raw_hasher;0;0;0;0;0;0
llvm-link;raw_comparator;0;0;0;0;0;0
llvm-link;malloc;0;0;0;0;0;0
llvm-link;calloc;0;0;0;0;0;0
llvm-link;hash_clear;0;0;0;0;0;0
llvm-link;hash_free;0;0;0;0;0;0
llvm-link;hash_rehash;1;0;0;0;80;0
llvm-link;transfer_entries;0;0;0;0;0;0
llvm-link;hash_insert_if_absent;0;0;0;0;0;0
llvm-link;hash_insert;1;1;0;0;8;8
llvm-link;hash_remove;0;0;0;0;0;0
llvm-link;hash_delete;0;0;0;0;0;0
llvm-link;mbscasecmp;2;2;0;0;128;128
llvm-link;memcmp;0;0;0;0;0;0
llvm-link;__ctype_tolower_loc;0;0;0;0;0;0
llvm-link;mbuiter_multi_next;0;0;0;0;0;0
llvm-link;mbsinit;0;0;0;0;0;0
llvm-link;mbuiter_multi_reloc;0;0;0;0;0;0
llvm-link;mbuiter_multi_copy;0;0;0;0;0;0
llvm-link;memchr2;0;0;0;0;0;0
llvm-link;openat_safer;1;1;0;0;24;24
llvm-link;openat;0;0;0;0;0;0
llvm-link;clone_quoting_options;0;0;0;0;0;0
llvm-link;get_quoting_style;0;0;0;0;0;0
llvm-link;set_quoting_style;0;0;0;0;0;0
llvm-link;set_char_quoting;0;0;0;0;0;0
llvm-link;set_quoting_flags;0;0;0;0;0;0
llvm-link;set_custom_quoting;0;0;0;0;0;0
llvm-link;quotearg_buffer;0;0;0;0;0;0
llvm-link;quotearg_buffer_restyled;2;2;0;0;12;12
llvm-link;gettext_quote;0;0;0;0;0;0
llvm-link;iswprint;0;0;0;0;0;0
llvm-link;quotearg_alloc;0;0;0;0;0;0
llvm-link;quotearg_alloc_mem;0;0;0;0;0;0
llvm-link;quotearg_free;0;0;0;0;0;0
